Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-26 00:00:00+05:30,25556.30078125,25572.94921875,25400.94921875,25496.55078125,405200,0.0,0.0
2026-02-27 00:00:00+05:30,25459.849609375,25476.400390625,25141.30078125,25178.650390625,438900,0.0,0.0
2026-03-02 00:00:00+05:30,24659.25,24989.349609375,24603.5,24865.69921875,519200,0.0,0.0
2026-03-04 00:00:00+05:30,24388.80078125,24602.44921875,24305.400390625,24480.5,599000,0.0,0.0
2026-03-05 00:00:00+05:30,24615.94921875,24854.19921875,24529.400390625,24765.900390625,504300,0.0,0.0
2026-03-06 00:00:00+05:30,24656.400390625,24700.900390625,24415.75,24450.44921875,433400,0.0,0.0
2026-03-09 00:00:00+05:30,23868.05078125,24078.150390625,23697.80078125,24028.05078125,526900,0.0,0.0
2026-03-10 00:00:00+05:30,24280.80078125,24303.80078125,24079.94921875,24261.599609375,444300,0.0,0.0
2026-03-11 00:00:00+05:30,24231.849609375,24299.0,23834.30078125,23866.849609375,407400,0.0,0.0
2026-03-12 00:00:00+05:30,23674.849609375,23833.150390625,23556.30078125,23639.150390625,501000,0.0,0.0
2026-03-13 00:00:00+05:30,23462.5,23492.400390625,23112.0,23151.099609375,519800,0.0,0.0
2026-03-16 00:00:00+05:30,23116.099609375,23502.0,22955.25,23408.80078125,540300,0.0,0.0
2026-03-17 00:00:00+05:30,23493.19921875,23656.80078125,23346.599609375,23581.150390625,458800,0.0,0.0
2026-03-18 00:00:00+05:30,23632.900390625,23862.25,23618.44921875,23777.80078125,382900,0.0,0.0
2026-03-19 00:00:00+05:30,23197.75,23378.69921875,22930.349609375,23002.150390625,550100,0.0,0.0
2026-03-20 00:00:00+05:30,23110.150390625,23345.150390625,23067.599609375,23114.5,663300,0.0,0.0
2026-03-23 00:00:00+05:30,22824.349609375,22851.69921875,22471.25,22512.650390625,550300,0.0,0.0
2026-03-24 00:00:00+05:30,22878.44921875,23057.30078125,22624.19921875,22912.400390625,538100,0.0,0.0
2026-03-25 00:00:00+05:30,23064.400390625,23465.349609375,23063.19921875,23306.44921875,505400,0.0,0.0
2026-03-27 00:00:00+05:30,23173.55078125,23186.099609375,22804.55078125,22819.599609375,612600,0.0,0.0
2026-03-30 00:00:00+05:30,22549.650390625,22714.099609375,22283.849609375,22331.400390625,698600,0.0,0.0
2026-04-01 00:00:00+05:30,22899.0,22941.30078125,22618.599609375,22679.400390625,518000,0.0,0.0
2026-04-02 00:00:00+05:30,22383.400390625,22782.30078125,22182.55078125,22713.099609375,495100,0.0,0.0
2026-04-06 00:00:00+05:30,22780.30078125,22998.349609375,22542.94921875,22968.25,426400,0.0,0.0
2026-04-07 00:00:00+05:30,22838.69921875,23153.849609375,22719.30078125,23123.650390625,477000,0.0,0.0
2026-04-08 00:00:00+05:30,23855.150390625,24025.150390625,23828.5,23997.349609375,639300,0.0,0.0
2026-04-09 00:00:00+05:30,23909.05078125,23990.75,23682.80078125,23775.099609375,466600,0.0,0.0
2026-04-10 00:00:00+05:30,23880.55078125,24074.05078125,23856.349609375,24050.599609375,481300,0.0,0.0
2026-04-13 00:00:00+05:30,23589.599609375,23907.400390625,23555.599609375,23842.650390625,488800,0.0,0.0
2026-04-15 00:00:00+05:30,24163.80078125,24280.900390625,24145.80078125,24231.30078125,460300,0.0,0.0
2026-04-16 00:00:00+05:30,24385.19921875,24400.94921875,24102.80078125,24196.75,508000,0.0,0.0
2026-04-17 00:00:00+05:30,24165.900390625,24371.900390625,24096.05078125,24353.55078125,498600,0.0,0.0
2026-04-20 00:00:00+05:30,24391.5,24480.650390625,24241.25,24364.849609375,415900,0.0,0.0
2026-04-21 00:00:00+05:30,24374.55078125,24601.69921875,24354.900390625,24576.599609375,425800,0.0,0.0
2026-04-22 00:00:00+05:30,24470.849609375,24515.94921875,24352.900390625,24378.099609375,440500,0.0,0.0
2026-04-23 00:00:00+05:30,24202.349609375,24310.19921875,24134.80078125,24173.05078125,467500,0.0,0.0
2026-04-24 00:00:00+05:30,24100.55078125,24206.0,23813.650390625,23897.94921875,438400,0.0,0.0
2026-04-27 00:00:00+05:30,23945.44921875,24130.69921875,23936.19921875,24092.69921875,430300,0.0,0.0
2026-04-28 00:00:00+05:30,24049.900390625,24181.80078125,23957.05078125,23995.69921875,554100,0.0,0.0
2026-04-29 00:00:00+05:30,24096.900390625,24334.69921875,24059.94921875,24177.650390625,531100,0.0,0.0
2026-04-30 00:00:00+05:30,23996.94921875,24087.44921875,23796.849609375,23997.55078125,505500,0.0,0.0
2026-05-04 00:00:00+05:30,24063.55078125,24290.19921875,24004.75,24119.30078125,419100,0.0,0.0
2026-05-05 00:00:00+05:30,24052.599609375,24081.69921875,23882.05078125,24032.80078125,363300,0.0,0.0
2026-05-06 00:00:00+05:30,24171.0,24356.5,23997.900390625,24330.94921875,429200,0.0,0.0
2026-05-07 00:00:00+05:30,24398.5,24482.099609375,24284.0,24326.650390625,440600,0.0,0.0
2026-05-08 00:00:00+05:30,24233.650390625,24253.80078125,24126.650390625,24176.150390625,335900,0.0,0.0
2026-05-11 00:00:00+05:30,23970.099609375,23997.44921875,23799.099609375,23815.849609375,390100,0.0,0.0
2026-05-12 00:00:00+05:30,23722.599609375,23757.55078125,23348.400390625,23379.55078125,447500,0.0,0.0
2026-05-13 00:00:00+05:30,23362.44921875,23582.94921875,23262.55078125,23412.599609375,415400,0.0,0.0
2026-05-14 00:00:00+05:30,23530.25,23777.19921875,23426.55078125,23689.599609375,428700,0.0,0.0
2026-05-15 00:00:00+05:30,23731.400390625,23839.30078125,23610.30078125,23643.5,408900,0.0,0.0
2026-05-18 00:00:00+05:30,23482.19921875,23695.650390625,23317.099609375,23649.94921875,392000,0.0,0.0
2026-05-19 00:00:00+05:30,23675.30078125,23782.30078125,23587.19921875,23618.0,442000,0.0,0.0
2026-05-20 00:00:00+05:30,23457.25,23690.900390625,23397.30078125,23659.0,344100,0.0,0.0
2026-05-21 00:00:00+05:30,23830.05078125,23859.900390625,23596.599609375,23654.69921875,348200,0.0,0.0
2026-05-22 00:00:00+05:30,23671.19921875,23835.650390625,23671.0,23719.30078125,336100,0.0,0.0
2026-05-25 00:00:00+05:30,23940.25,24054.44921875,23922.849609375,24031.69921875,351200,0.0,0.0
2026-05-26 00:00:00+05:30,24004.099609375,24089.80078125,23885.44921875,23913.69921875,387900,0.0,0.0
2026-05-27 00:00:00+05:30,23880.349609375,23983.19921875,23858.25,23907.150390625,531600,0.0,0.0
2026-05-29 00:00:00+05:30,23902.150390625,24002.80078125,23484.75,23547.75,1198000,0.0,0.0
2026-06-01 00:00:00+05:30,23654.5,23733.69921875,23357.94921875,23382.599609375,421700,0.0,0.0
2026-06-02 00:00:00+05:30,23229.150390625,23556.94921875,23229.150390625,23483.55078125,511900,0.0,0.0
2026-06-03 00:00:00+05:30,23415.94921875,23459.650390625,23151.5,23405.599609375,450100,0.0,0.0
2026-06-04 00:00:00+05:30,23282.44921875,23465.30078125,23247.30078125,23416.55078125,412500,0.0,0.0
2026-06-05 00:00:00+05:30,23478.94921875,23516.349609375,23282.650390625,23366.69921875,366200,0.0,0.0
2026-06-08 00:00:00+05:30,23080.69921875,23267.30078125,23070.150390625,23123.0,375700,0.0,0.0
2026-06-09 00:00:00+05:30,23259.05078125,23279.400390625,23104.44921875,23242.099609375,402600,0.0,0.0
2026-06-10 00:00:00+05:30,23233.94921875,23425.349609375,23184.599609375,23214.94921875,380000,0.0,0.0
2026-06-11 00:00:00+05:30,23104.400390625,23327.44921875,23072.05078125,23161.599609375,363000,0.0,0.0
2026-06-12 00:00:00+05:30,23412.55078125,23645.349609375,23313.900390625,23622.900390625,351900,0.0,0.0
2026-06-15 00:00:00+05:30,23984.849609375,24011.400390625,23817.80078125,23853.900390625,398900,0.0,0.0
