Date,Open,High,Low,Close,Volume
2026-02-26,1392.0637118415314,1406.397463315574,1385.4941111892442,1400.3255615234375,16683858
2026-02-27,1391.5659695052796,1403.9089251530934,1381.711508080472,1387.48486328125,12031440
2026-03-02,1369.1694587628867,1372.2551671563263,1335.3259388807069,1351.75,23728722
2026-03-04,1323.8789706886037,1346.5740873609554,1300.9848230751916,1338.8099365234375,32495007
2026-03-05,1346.8726294272453,1392.5614090361375,1346.8726294272453,1383.005615234375,25957532
2026-03-06,1390.0728674061675,1417.7449716586152,1383.9014503612218,1398.334716796875,19311971
2026-03-09,1368.6718029922313,1422.8214608086796,1363.6948146177142,1417.4462890625,24870822
2026-03-10,1424.015880450879,1424.9117626543534,1394.1539503917586,1402.3162841796875,18071259
2026-03-11,1418.34212900751,1427.4002232775151,1377.2321576556008,1383.8017578125,21848087
2026-03-12,1383.6027762448114,1404.4066120742223,1374.7437125844203,1385.7926025390625,20939959
2026-03-13,1378.8248707870416,1394.3531723993444,1372.0562392077015,1374.3455810546875,17265090
2026-03-16,1373.6488401657623,1390.8692691567512,1357.224777946389,1388.6793212890625,22837802
2026-03-17,1392.5613056143347,1399.429573667814,1381.8109624429321,1391.167724609375,19007744
2026-03-18,1390.7696473738063,1406.3974645008152,1390.7696473738063,1401.6195068359375,9559327
2026-03-19,1381.6119817895922,1409.1844489610974,1369.7667250791762,1378.4267578125,16498373
2026-03-20,1391.5659566755692,1423.4186824363833,1389.6746767818195,1407.8905029296875,22994918
2026-03-23,1393.5567722314413,1409.0849519631759,1384.598192981382,1401.3209228515625,18979554
2026-03-24,1413.4647025895886,1415.8536813182018,1400.1263494042955,1405.302490234375,18620893
2026-03-25,1413.464703831985,1423.9163794589117,1401.9181150601291,1406.596435546875,19041331
2026-03-27,1394.552193095842,1398.235116023098,1338.809921280448,1341.8956298828125,23266517
2026-03-30,1328.855902170806,1358.7178325566667,1327.960019957529,1337.7149658203125,24393861
2026-04-01,1377.8294025098971,1378.028554948465,1356.6275051009459,1362.8984375,14404619
2026-04-02,1350.7546307176451,1351.9490593116357,1321.8880984473344,1344.2845458984375,21280051
2026-04-06,1352.7454554606609,1352.7454554606609,1284.0630151171836,1298.6953125,29274881
2026-04-07,1289.040031502862,1302.2788696189978,1285.058440671965,1298.5958251953125,28388922
2026-04-08,1342.7914745147666,1344.3840865060406,1320.0963587364665,1341.5970458984375,21817543
2026-04-09,1339.8052690319548,1343.7868597274437,1320.195983460075,1323.87890625,20725390
2026-04-10,1330.8467605257397,1346.0763943468285,1325.3720730291864,1343.9859619140625,19364461
2026-04-13,1315.1193869938081,1321.4899565481755,1303.970981405046,1309.0474853515625,28753269
2026-04-15,1330.8467629297493,1340.8007402141902,1328.059600686701,1337.9140625,15313779
2026-04-16,1345.7777093601655,1347.5694738488123,1323.8789596516422,1337.1177978515625,30211012
2026-04-17,1333.832952366644,1362.1022720767137,1333.832952366644,1358.7178955078125,13869105
2026-04-20,1356.9261198573818,1366.6810660920328,1346.5740808024586,1357.0257568359375,13614733
2026-04-21,1352.7454957201878,1363.4958396538184,1343.8864317482064,1347.07177734375,27293629
2026-04-22,1344.085556855853,1359.7132520720183,1342.8910067161314,1355.8311767578125,9525953
2026-04-23,1339.8052948565,1349.261572940554,1334.529638479888,1337.21728515625,16385079
2026-04-24,1333.8328899956957,1339.7057606040942,1318.9019248091768,1321.6890869140625,11744802
2026-04-27,1306.9571155871217,1365.2873936261717,1304.9663202853897,1359.51416015625,24673098
2026-04-28,1351.7500009887617,1388.7787447541255,1350.75460334444,1382.5078125,41027699
2026-04-29,1385.5935377241706,1427.2012083655534,1384.896807968084,1418.83984375,30542143
2026-04-30,1402.5153692729207,1430.386505071105,1386.6885214286783,1424.215087890625,30957881
2026-05-01,1424.215087890625,1424.215087890625,1424.215087890625,1424.215087890625,0
2026-05-04,1426.8030702776819,1460.6465916696056,1426.8030702776819,1456.3663330078125,24035700
2026-05-05,1453.280606341501,1466.6189594959255,1443.3266295857375,1456.864013671875,23543341
2026-05-06,1456.2668061036345,1466.519450812893,1420.9301884572374,1431.2823486328125,14221786
2026-05-07,1432.1782190445704,1442.828925531327,1423.717338832762,1429.590087890625,19816903
2026-05-08,1419.4371163507371,1436.1598462687914,1410.9762359236815,1428.5947265625,8663105
2026-05-11,1413.4647305422184,1421.427912122738,1375.6396180347506,1381.81103515625,15261787
